id_zoom,pourcentage,type,nbr_point_t
0,0.18181818181818182,out,22
1,0.5384615384615384,out,13
2,0.65,out,20
3,0.631578947368421,out,19
4,0.23076923076923078,in,13
5,0.8421052631578947,in,19
6,0.2962962962962963,in,27
7,0.36363636363636365,out,11
8,0.16666666666666666,in,30
9,0.45454545454545453,out,22
10,0.4146341463414634,in,41
11,0.42857142857142855,in,14
12,0.3888888888888889,in,18
13,0.1875,out,16
14,0.5263157894736842,out,19
15,0.32608695652173914,in,46
16,0.28888888888888886,in,45
17,0.5,out,16
18,0.7333333333333333,out,15
19,0.25,in,28
20,0.47058823529411764,in,17
21,0.43478260869565216,in,23
22,0.34782608695652173,out,23
23,0.34782608695652173,in,23
24,0.36363636363636365,in,22
25,0.782608695652174,in,23
26,0.5555555555555556,out,18
27,0.07142857142857142,out,14
28,1.0,in,23
29,0.16666666666666666,out,18
30,0.6470588235294118,in,17
31,0.1951219512195122,in,82
32,0.15384615384615385,out,26
33,0.3488372093023256,in,43
34,0.23809523809523808,in,21
35,0.2,out,15
36,0.2222222222222222,in,18
37,0.5,in,12
38,1.0,out,15
39,0.32,in,25
40,0.6842105263157895,in,19
41,0.36363636363636365,in,22
42,0.391304347826087,in,23
