participant,zone,nbr
10,0,0
10,1,13
10,2,15
10,3,10
10,4,7
11,0,0
11,1,7
11,2,7
11,3,7
11,4,10
12,0,15
12,1,14
12,2,6
12,3,8
12,4,5
13,0,0
13,1,15
13,2,10
13,3,14
13,4,10
15,0,1
15,1,19
15,2,13
15,3,5
15,4,8
16,0,0
16,1,3
16,2,12
16,3,6
16,4,4
18,0,1
18,1,19
18,2,5
18,3,13
18,4,2
19,0,1
19,1,26
19,2,52
19,3,8
19,4,19
1,0,0
1,1,7
1,2,8
1,3,11
1,4,11
20,0,0
20,1,9
20,2,5
20,3,14
20,4,6
3,0,0
3,1,13
3,2,12
3,3,13
3,4,3
4,0,3
4,1,4
4,2,23
4,3,6
4,4,1
5,0,0
5,1,4
5,2,7
5,3,4
5,4,5
6,0,0
6,1,17
6,2,16
6,3,14
6,4,11
7,0,0
7,1,16
7,2,9
7,3,13
7,4,9
8,0,0
8,1,23
8,2,19
8,3,9
8,4,13
9,0,1
9,1,3
9,2,2
9,3,2
9,4,2
